PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
20,116ms,1,1,11
20,147ms,2,1,11
20,104ms,3,1,12
40,1275ms,1,0,5
40,1439ms,2,1,12
40,1243ms,3,1,19
60,2084ms,1,1,12
60,2064ms,2,1,17
60,2293ms,3,1,20
